日付,始値,高値,安値,終値
2007/04/02,.81,.8182,.8083,.817
2007/04/03,.817,.8175,.8116,.8132
2007/04/04,.8131,.8194,.8065,.8191
2007/04/05,.819,.821,.8166,.8201
2007/04/06,.82,.8202,.8153,.8163
2007/04/09,.8164,.8176,.8151,.8167
2007/04/10,.8166,.8267,.8159,.8266
2007/04/11,.8267,.8267,.8235,.8244
2007/04/12,.8243,.8296,.8234,.8289
2007/04/13,.8289,.8339,.8287,.8335
2007/04/16,.8336,.8359,.8313,.8328
2007/04/17,.8327,.8385,.8316,.837
2007/04/18,.8371,.8389,.8316,.8382
2007/04/19,.8381,.8392,.8283,.8356
2007/04/20,.8354,.8379,.8339,.8375
2007/04/23,.8376,.8378,.8318,.8321
2007/04/24,.832,.834,.8234,.8277
2007/04/25,.8277,.8349,.8272,.8334
2007/04/26,.8334,.8359,.825,.8265
2007/04/27,.8265,.8339,.824,.8299
2007/04/30,.8286,.8331,.8258,.8301
2007/05/01,.8302,.8328,.8273,.8275
2007/05/02,.8276,.8282,.8221,.8248
2007/05/03,.8248,.8259,.8224,.824
2007/05/04,.8237,.824,.8171,.8215
2007/05/07,.8216,.8266,.8206,.8247
2007/05/08,.8247,.8309,.8243,.8291
2007/05/09,.8291,.8306,.8267,.8277
2007/05/10,.8277,.8335,.8264,.8269
2007/05/11,.8267,.8329,.8231,.8314
2007/05/14,.8317,.8352,.8314,.8322
2007/05/15,.8321,.8349,.8303,.8338
2007/05/16,.8338,.8342,.8235,.8243
2007/05/17,.8246,.8269,.8203,.8237
2007/05/18,.8238,.8258,.8207,.8232
2007/05/21,.8247,.8251,.8181,.8218
2007/05/22,.8219,.823,.8188,.8191
2007/05/23,.819,.8267,.8188,.8237
2007/05/24,.8238,.824,.8182,.8186
2007/05/25,.8184,.8218,.8176,.818
2007/05/28,.8187,.8199,.8181,.8196
2007/05/29,.8197,.8211,.8163,.8188
2007/05/30,.8187,.8236,.8173,.8234
2007/05/31,.8236,.8291,.8218,.8279
2007/06/01,.828,.8331,.827,.833
2007/06/04,.8328,.8347,.831,.8342
2007/06/05,.8342,.8407,.8339,.8374
2007/06/06,.8374,.8439,.8367,.841
2007/06/07,.841,.8476,.8401,.8405
2007/06/08,.8404,.8449,.8367,.8449
2007/06/11,.8444,.8446,.8394,.8438
2007/06/12,.8437,.8446,.8401,.8401
2007/06/13,.8401,.8427,.836,.8405
2007/06/14,.8405,.841,.8333,.8357
2007/06/15,.8357,.8422,.8352,.8421
2007/06/18,.84,.8453,.8398,.8426
2007/06/19,.8427,.847,.8422,.8466
2007/06/20,.8467,.8476,.8434,.8444
2007/06/21,.8444,.8475,.8429,.8474
2007/06/22,.8473,.8494,.8456,.8472
2007/06/25,.8478,.85,.8462,.8473
2007/06/26,.8473,.8512,.8452,.8456
2007/06/27,.8456,.8461,.8356,.8385
2007/06/28,.8386,.8471,.8378,.8463
2007/06/29,.8464,.8522,.8461,.8493
2007/07/02,.8491,.8598,.8491,.8586
2007/07/03,.8591,.8597,.854,.8544
2007/07/04,.8544,.8587,.8543,.8575
2007/07/05,.8576,.8609,.8555,.8561
2007/07/06,.8561,.859,.855,.8582
2007/07/09,.858,.8614,.8569,.8599
2007/07/10,.8598,.8637,.8566,.862
2007/07/11,.862,.8641,.8575,.8626
2007/07/12,.8627,.8664,.8604,.8662
2007/07/13,.8663,.8716,.8655,.8712
2007/07/16,.8711,.876,.8694,.8717
2007/07/17,.8718,.8751,.8709,.8726
2007/07/18,.8726,.8788,.8718,.8778
2007/07/19,.8776,.8811,.8763,.88
2007/07/20,.88,.8834,.8754,.8802
2007/07/23,.8801,.8843,.8792,.8832
2007/07/24,.8832,.8863,.8807,.882
2007/07/25,.882,.8871,.8788,.8836
2007/07/26,.8836,.8868,.8707,.8712
2007/07/27,.8712,.8769,.8512,.8518
2007/07/30,.8504,.8576,.846,.8564
2007/07/31,.8564,.8615,.8511,.8516
