日付,始値,高値,安値,終値
2007/04/02,157.37,157.63,156.95,157.52
2007/04/03,157.52,158.86,157.36,158.56
2007/04/04,158.51,158.98,158.09,158.62
2007/04/05,158.66,159.45,158.38,159.4
2007/04/06,159.41,159.7,159.25,159.54
2007/04/09,159.53,159.61,159.26,159.35
2007/04/10,159.34,160.11,159.06,160
2007/04/11,160.01,160.44,159.59,160.35
2007/04/12,160.35,160.87,160.19,160.65
2007/04/13,160.65,161.45,159.91,161.32
2007/04/16,161.31,162.43,161.31,162.07
2007/04/17,162.05,162.17,161.23,161.33
2007/04/18,161.32,161.63,160.42,161.51
2007/04/19,161.52,161.52,159.62,161.27
2007/04/20,161.28,161.96,161.11,161.3
2007/04/23,161.31,161.81,160.47,161.08
2007/04/24,161.09,161.79,160.23,161.74
2007/04/25,161.75,161.99,161.27,161.94
2007/04/26,161.91,162.76,161.69,162.59
2007/04/27,162.6,163.3,162.23,163.3
2007/04/30,163.27,163.27,162.42,163.05
2007/05/01,163.05,163.3,162.81,163.09
2007/05/02,163.09,163.39,162.57,163.36
2007/05/03,163.33,163.59,163.14,163.2
2007/05/04,163.19,163.4,162.86,163.33
2007/05/07,163.33,163.44,162.97,163.35
2007/05/08,163.33,163.39,161.9,162.57
2007/05/09,162.56,162.58,162.07,162.46
2007/05/10,162.43,163.02,161.61,161.68
2007/05/11,161.68,162.64,161.13,162.56
2007/05/14,162.59,163.19,162.57,163.03
2007/05/15,163.03,163.66,162.66,163.45
2007/05/16,163.45,163.89,163.12,163.29
2007/05/17,163.29,163.81,163.21,163.7
2007/05/18,163.69,163.89,162.62,163.62
2007/05/21,163.6,163.94,163.25,163.6
2007/05/22,163.6,163.64,163.25,163.48
2007/05/23,163.48,164,163.43,163.74
2007/05/24,163.75,163.76,162.87,163.02
2007/05/25,163.03,163.8,162.2,163.71
2007/05/28,163.72,163.8,163.6,163.73
2007/05/29,163.73,164.3,162.98,163.61
2007/05/30,163.6,163.69,162.96,163.38
2007/05/31,163.38,163.96,163.04,163.76
2007/06/01,163.75,164.14,163.57,164.1
2007/06/04,164.02,164.36,163.89,164.27
2007/06/05,164.28,164.6,163.92,164.18
2007/06/06,164.16,164.39,163.26,163.5
2007/06/07,163.5,164,162.32,162.52
2007/06/08,162.52,162.9,161.78,162.73
2007/06/11,162.53,162.78,162.11,162.61
2007/06/12,162.61,162.72,161.85,161.88
2007/06/13,161.88,163.38,161.51,163.34
2007/06/14,163.35,163.8,163.11,163.63
2007/06/15,163.63,165.27,163.57,165.2
2007/06/18,165.31,165.99,165.24,165.91
2007/06/19,165.91,166.1,165.32,165.64
2007/06/20,165.64,166.02,165.21,165.63
2007/06/21,165.58,165.74,165.35,165.66
2007/06/22,165.66,166.94,165.61,166.72
2007/06/25,166.81,166.91,165.94,166.49
2007/06/26,166.5,166.56,165.1,165.83
2007/06/27,165.84,165.84,164.25,165.24
2007/06/28,165.24,165.97,165.16,165.67
2007/06/29,165.67,166.95,165.49,166.65
2007/07/02,166.72,166.88,166.16,166.78
2007/07/03,166.78,167.18,166.25,166.63
2007/07/04,166.67,167.09,166.37,167.04
2007/07/05,167.05,167.28,166.79,167.18
2007/07/06,167.19,168.13,167.05,168.11
2007/07/09,168.24,168.5,167.93,168.16
2007/07/10,168.16,168.36,167.36,167.37
2007/07/11,167.37,168.41,166.52,168.36
2007/07/12,168.36,168.87,167.82,168.81
2007/07/13,168.81,168.96,168.15,168.22
2007/07/16,168.16,168.34,167.72,167.88
2007/07/17,167.88,168.71,167.72,168.59
2007/07/18,168.61,168.61,168,168.34
2007/07/19,168.34,168.81,168.1,168.43
2007/07/20,168.44,168.88,167.19,167.59
