日付,始値,高値,安値,終値
2007/04/02,1.3356,1.3384,1.3332,1.3367
2007/04/03,1.3366,1.3381,1.332,1.3331
2007/04/04,1.3332,1.3381,1.3319,1.3367
2007/04/05,1.3367,1.3441,1.3353,1.343
2007/04/06,1.343,1.3432,1.3364,1.3377
2007/04/09,1.3376,1.3379,1.334,1.3355
2007/04/10,1.3355,1.3455,1.335,1.3439
2007/04/11,1.3439,1.3442,1.3407,1.3431
2007/04/12,1.3431,1.3503,1.343,1.3483
2007/04/13,1.3481,1.3554,1.3481,1.353
2007/04/16,1.3531,1.3577,1.3531,1.3535
2007/04/17,1.3535,1.3594,1.3525,1.3567
2007/04/18,1.3567,1.3617,1.3557,1.3609
2007/04/19,1.3609,1.3619,1.3561,1.3613
2007/04/20,1.3613,1.3638,1.3586,1.359
2007/04/23,1.3592,1.3607,1.3542,1.3577
2007/04/24,1.3577,1.3643,1.3549,1.3639
2007/04/25,1.3639,1.3666,1.3623,1.3638
2007/04/26,1.3638,1.3654,1.3585,1.3601
2007/04/27,1.3601,1.3679,1.3586,1.3652
2007/04/30,1.3652,1.3679,1.359,1.3648
2007/05/01,1.3647,1.3672,1.3591,1.3605
2007/05/02,1.3605,1.3611,1.3562,1.3592
2007/05/03,1.3592,1.3622,1.3547,1.355
2007/05/04,1.355,1.361,1.3536,1.3594
2007/05/07,1.3594,1.3627,1.3592,1.3602
2007/05/08,1.3601,1.3621,1.3516,1.3543
2007/05/09,1.3543,1.3565,1.3521,1.3529
2007/05/10,1.3529,1.3563,1.3466,1.3485
2007/05/11,1.3485,1.3531,1.3464,1.3526
2007/05/14,1.3527,1.3558,1.3525,1.3547
2007/05/15,1.3547,1.3608,1.3527,1.3592
2007/05/16,1.3591,1.3609,1.3506,1.3516
2007/05/17,1.3516,1.3543,1.3477,1.3495
2007/05/18,1.3495,1.3522,1.3465,1.3508
2007/05/21,1.3508,1.3525,1.3437,1.3469
