日付,始値,高値,安値,終値
2007/04/02,231.9,233.12,231.25,233.07
2007/04/03,233.07,235.13,232.87,234.83
2007/04/04,234.83,234.92,234.09,234.5
2007/04/05,234.5,234.82,233.55,233.94
2007/04/06,233.94,234.64,233.82,234.39
2007/04/09,234.4,234.56,233.77,234.19
2007/04/10,234.19,235.38,233.68,234.87
2007/04/11,234.88,236.31,234.62,235.76
2007/04/12,235.76,236.13,235.19,235.89
2007/04/13,235.86,237,234.78,236.86
2007/04/16,236.84,238.6,236.43,238.24
2007/04/17,238.24,239.44,237.18,238.63
2007/04/18,238.63,238.97,236.81,238.39
2007/04/19,238.39,238.39,235.24,237.35
2007/04/20,237.36,238.34,236.91,237.63
2007/04/23,237.65,238.34,236.36,237.37
2007/04/24,237.37,238.01,236,237.39
2007/04/25,237.39,237.99,236.91,237.66
2007/04/26,237.66,238.76,237.31,238.09
2007/04/27,238.09,239.42,237.37,238.96
2007/04/30,238.94,239.05,237.89,238.99
2007/05/01,238.96,239.77,238.62,239.51
2007/05/02,239.56,239.6,238.65,239.11
2007/05/03,239.08,239.56,238.94,239.26
2007/05/04,239.25,239.56,238.78,239.38
2007/05/07,239.38,239.63,239.15,239.38
2007/05/08,239.34,239.43,238.21,238.79
2007/05/09,238.79,239.54,238.06,239.43
2007/05/10,239.44,239.78,237.21,237.38
2007/05/11,237.42,238.45,236.53,238.14
2007/05/14,238.14,238.69,237.92,238.2
2007/05/15,238.23,239.03,237.76,238.84
2007/05/16,238.84,239.4,238.59,238.86
2007/05/17,238.87,239.63,238.63,239.55
2007/05/18,239.56,239.9,237.84,239.16
2007/05/21,239.15,239.61,239.03,239.46
2007/05/22,239.46,240.21,239.12,240.04
2007/05/23,240.04,241.88,239.92,241.7
2007/05/24,241.66,241.66,240.74,240.94
2007/05/25,240.89,241.81,239.7,241.56
2007/05/28,241.53,241.67,241.19,241.44
2007/05/29,241.44,241.54,240.54,241.02
2007/05/30,241.04,241.14,239.77,240.37
2007/05/31,240.37,241.19,239.91,241
2007/06/01,240.96,242.03,240.88,241.93
2007/06/04,241.89,242.66,241.67,242.5
2007/06/05,242.5,243,241.56,242
2007/06/06,241.98,242.28,240.94,241.26
2007/06/07,241.26,242.13,238.95,239.31
2007/06/08,239.31,240.14,237.69,239.58
2007/06/11,239.37,239.99,238.96,239.7
2007/06/12,239.69,240.87,239.56,240.27
2007/06/13,240.26,242.24,239.76,242.14
2007/06/14,242.13,242.38,241.73,242.02
2007/06/15,242.06,244.37,242.05,243.86
2007/06/18,244.16,245.49,243.94,245.3
2007/06/19,245.3,245.55,245.09,245.33
2007/06/20,245.34,246.63,244.73,246.3
2007/06/21,246.2,246.56,245.88,246.54
2007/06/22,246.54,247.95,246.4,247.44
2007/06/25,247.69,247.82,246.5,247.02
2007/06/26,247.06,247.17,245.24,246.39
2007/06/27,246.38,246.39,244.02,245.57
2007/06/28,245.58,246.78,245.38,246.71
2007/06/29,246.73,247.82,246.5,247.25
2007/07/02,247.28,247.63,246.06,246.95
2007/07/03,246.94,247.63,246.28,246.82
2007/07/04,246.88,247.42,246.61,247.41
2007/07/05,247.41,247.63,246.64,247.3
2007/07/06,247.31,248.19,247.06,248.17
2007/07/09,248.33,248.81,248.17,248.7
2007/07/10,248.7,248.78,246.87,246.88
2007/07/11,246.88,248.96,245.1,248.94
2007/07/12,248.88,248.93,247.71,248.55
2007/07/13,248.55,248.93,248.1,248.17
2007/07/16,248.3,248.65,247.9,248.2
2007/07/17,248.19,250.48,248.03,250.41
2007/07/18,250.43,250.53,249.61,250.34
2007/07/19,250.34,250.45,249.74,249.98
2007/07/20,249.98,251.11,248.62,249.12
2007/07/23,249.39,249.94,248.57,249.38
2007/07/24,249.38,249.48,247.32,248.05
2007/07/25,248.05,248.12,246.32,247.5
2007/07/26,247.47,247.74,242.85,243.19
2007/07/27,243.19,244.38,240.13,240.65
2007/07/30,239.42,241.44,239.07,241.05
2007/07/31,241.05,242.94,240.58,240.94
2007/08/01,240.94,241.85,237.66,241.77
2007/08/02,241.69,243.14,240.16,242.88
2007/08/03,242.88,242.95,240.93,240.99
2007/08/06,239.79,241.82,238.92,241.49
2007/08/07,241.5,241.67,238.63,240.19
2007/08/08,240.19,244.1,239.86,243.91
2007/08/09,243.83,244.06,239.02,239.11
2007/08/10,239.11,240.51,236.35,239.77
2007/08/13,239.46,239.67,236.5,237.97
2007/08/14,237.97,238.11,234.77,234.79
2007/08/15,234.8,234.87,231.81,231.91
2007/08/16,231.93,231.93,221.53,225.84
