日付,始値,高値,安値,終値
2007/04/02,15.08,15.11,15.03,15.08
2007/04/03,15.08,15.21,15.06,15.21
2007/04/04,15.21,15.23,15.16,15.18
2007/04/05,15.18,15.22,15.15,15.18
2007/04/06,15.19,15.27,15.18,15.25
2007/04/09,15.26,15.27,15.25,15.27
2007/04/10,15.27,15.27,15.19,15.24
2007/04/11,15.24,15.3,15.22,15.28
2007/04/12,15.28,15.29,15.2,15.25
2007/04/13,15.25,15.3,15.13,15.26
2007/04/16,15.26,15.34,15.23,15.33
2007/04/17,15.33,15.34,15.21,15.22
2007/04/18,15.22,15.24,15.12,15.2
2007/04/19,15.2,15.2,15.05,15.16
2007/04/20,15.16,15.22,15.13,15.19
2007/04/23,15.19,15.23,15.13,15.18
2007/04/24,15.18,15.22,15.13,15.17
2007/04/25,15.17,15.2,15.13,15.19
2007/04/26,15.19,15.3,15.16,15.29
2007/04/27,15.29,15.31,15.2,15.29
2007/04/30,15.29,15.3,15.23,15.27
2007/05/01,15.27,15.33,15.22,15.32
2007/05/02,15.33,15.38,15.29,15.36
2007/05/03,15.36,15.4,15.34,15.4
2007/05/04,15.4,15.4,15.33,15.37
2007/05/07,15.37,15.37,15.32,15.36
2007/05/08,15.36,15.36,15.29,15.35
2007/05/09,15.35,15.36,15.3,15.36
2007/05/10,15.36,15.41,15.32,15.33
2007/05/11,15.33,15.37,15.28,15.37
2007/05/14,15.37,15.42,15.35,15.41
2007/05/15,15.41,15.43,15.37,15.39
2007/05/16,15.39,15.46,15.38,15.45
2007/05/17,15.45,15.52,15.44,15.51
2007/05/18,15.51,15.52,15.43,15.49
2007/05/21,15.49,15.55,15.49,15.53
2007/05/22,15.53,15.54,15.49,15.54
2007/05/23,15.54,15.56,15.5,15.54
2007/05/24,15.54,15.55,15.5,15.52
2007/05/25,15.52,15.58,15.44,15.56
2007/05/28,15.56,15.57,15.54,15.56
2007/05/29,15.56,15.58,15.5,15.56
2007/05/30,15.56,15.6,15.52,15.58
2007/05/31,15.58,15.62,15.56,15.59
2007/06/01,15.59,15.64,15.58,15.62
2007/06/04,15.62,15.64,15.57,15.6
2007/06/05,15.6,15.62,15.52,15.55
2007/06/06,15.55,15.56,15.47,15.5
2007/06/07,15.5,15.56,15.46,15.48
2007/06/08,15.48,15.59,15.46,15.58
2007/06/11,15.57,15.59,15.55,15.58
2007/06/12,15.58,15.59,15.56,15.57
2007/06/13,15.57,15.71,15.54,15.7
2007/06/14,15.7,15.75,15.68,15.72
2007/06/15,15.72,15.81,15.72,15.79
2007/06/18,15.8,15.83,15.77,15.82
2007/06/19,15.82,15.83,15.78,15.78
2007/06/20,15.78,15.83,15.75,15.81
2007/06/21,15.81,15.84,15.79,15.84
2007/06/22,15.84,15.89,15.83,15.85
2007/06/25,15.85,15.86,15.78,15.83
2007/06/26,15.83,15.84,15.72,15.78
