日付,始値,高値,安値,終値
2007/04/02,.7144,.7224,.7133,.7215
2007/04/03,.7213,.7242,.719,.7194
2007/04/04,.7192,.7226,.7168,.7212
2007/04/05,.7213,.7253,.7197,.724
2007/04/06,.7243,.7243,.72,.7205
2007/04/09,.7218,.7239,.719,.7204
2007/04/10,.7204,.7313,.7191,.7304
2007/04/11,.7303,.731,.7261,.7279
2007/04/12,.7279,.7301,.7254,.7298
2007/04/13,.7298,.7385,.7298,.7375
2007/04/16,.7377,.7413,.7377,.74
2007/04/17,.74,.7456,.7377,.745
2007/04/18,.7454,.7493,.7384,.7484
2007/04/19,.7484,.7484,.7366,.744
2007/04/20,.7439,.7484,.7425,.7478
2007/04/23,.7483,.7486,.7429,.7448
2007/04/24,.7447,.7464,.7388,.7431
2007/04/25,.7428,.7473,.7426,.7449
2007/04/26,.7452,.7489,.737,.7395
2007/04/27,.7395,.7446,.7354,.742
2007/04/30,.742,.7434,.7372,.7405
2007/05/01,.7405,.7446,.7391,.7407
2007/05/02,.7408,.7411,.7364,.7376
2007/05/03,.7375,.7398,.7346,.7359
2007/05/04,.7357,.7379,.7333,.7365
2007/05/07,.7357,.7396,.7346,.737
2007/05/08,.737,.7402,.736,.7376
2007/05/09,.7377,.7385,.7334,.7345
2007/05/10,.7344,.7356,.727,.7273
2007/05/11,.7272,.7347,.7253,.7339
2007/05/14,.7332,.7401,.733,.7373
2007/05/15,.7373,.7404,.7348,.7387
2007/05/16,.7387,.7394,.7322,.7329
2007/05/17,.733,.7343,.7282,.7307
2007/05/18,.7308,.7318,.7268,.7306
2007/05/21,.7304,.7319,.7277,.7302
2007/05/22,.7302,.7307,.7261,.7267
2007/05/23,.7266,.7316,.7248,.7296
2007/05/24,.7297,.73,.7239,.7247
2007/05/25,.7247,.7283,.7242,.7257
2007/05/28,.7255,.7285,.7255,.7273
2007/05/29,.7272,.73,.725,.7273
2007/05/30,.7274,.7311,.7261,.7301
2007/05/31,.7301,.7376,.7287,.7368
2007/06/01,.7369,.7456,.7361,.745
2007/06/04,.7452,.7478,.7438,.7473
2007/06/05,.7474,.7543,.7454,.7495
2007/06/06,.7499,.7555,.7487,.7513
2007/06/07,.7512,.7577,.7499,.7506
2007/06/08,.7506,.7639,.7475,.7637
2007/06/11,.7626,.7633,.7466,.7522
