日付,始値,高値,安値,終値
2007/04/02,16.23,16.29,16.13,16.25
2007/04/03,16.25,16.58,16.23,16.57
2007/04/04,16.57,16.62,16.52,16.6
2007/04/05,16.6,16.66,16.56,16.65
2007/04/06,16.65,16.76,16.64,16.73
2007/04/09,16.73,16.78,16.71,16.75
2007/04/10,16.75,16.77,16.62,16.66
2007/04/11,16.66,16.78,16.62,16.7
2007/04/12,16.7,16.76,16.49,16.64
2007/04/13,16.64,16.65,16.33,16.59
2007/04/16,16.59,16.9,16.57,16.85
2007/04/17,16.85,16.95,16.7,16.93
2007/04/18,16.93,16.95,16.7,16.91
2007/04/19,16.91,16.91,16.43,16.79
2007/04/20,16.79,16.95,16.76,16.83
2007/04/23,16.82,16.89,16.7,16.73
2007/04/24,16.73,16.9,16.63,16.89
2007/04/25,16.89,17.08,16.8,17.05
2007/04/26,17.05,17.14,16.94,17.02
2007/04/27,17.01,17.07,16.87,16.97
2007/04/30,16.96,17.01,16.68,16.86
2007/05/01,16.86,17.06,16.86,17.05
2007/05/02,17.05,17.13,16.96,17.13
2007/05/03,17.12,17.31,17.09,17.31
2007/05/04,17.31,17.41,17.13,17.36
2007/05/07,17.36,17.45,17.27,17.43
2007/05/08,17.43,17.46,17.23,17.4
2007/05/09,17.4,17.41,17.28,17.39
2007/05/10,17.38,17.42,17.04,17.04
2007/05/11,17.04,17.33,16.95,17.32
2007/05/14,17.32,17.45,17.21,17.32
2007/05/15,17.32,17.45,17.2,17.4
2007/05/16,17.4,17.48,17.26,17.34
2007/05/17,17.35,17.45,17.19,17.25
2007/05/18,17.25,17.32,17.06,17.3
2007/05/21,17.3,17.38,17.23,17.34
2007/05/22,17.34,17.37,17.17,17.18
2007/05/23,17.18,17.29,17.16,17.19
2007/05/24,17.19,17.25,16.92,16.99
2007/05/25,16.99,17.21,16.9,17.16
2007/05/28,17.16,17.21,17.12,17.14
2007/05/29,17.14,17.16,16.96,17.04
2007/05/30,17.04,17.07,16.84,17.05
2007/05/31,17.05,17.13,16.96,17.1
2007/06/01,17.1,17.26,17.08,17.2
2007/06/04,17.21,17.21,17.01,17.08
2007/06/05,17.08,17.1,16.9,16.93
2007/06/06,16.93,16.98,16.76,16.8
2007/06/07,16.8,16.94,16.61,16.61
2007/06/08,16.61,16.84,16.5,16.84
2007/06/11,16.8,16.88,16.73,16.82
2007/06/12,16.82,16.94,16.7,16.7
2007/06/13,16.7,17.01,16.65,16.99
2007/06/14,16.99,17.14,16.89,17.1
2007/06/15,17.1,17.37,17.04,17.34
2007/06/18,17.32,17.46,17.32,17.44
2007/06/19,17.44,17.45,17.36,17.44
2007/06/20,17.44,17.48,17.27,17.29
2007/06/21,17.28,17.37,17.19,17.3
2007/06/22,17.3,17.42,17.27,17.29
2007/06/25,17.34,17.37,17.2,17.24
2007/06/26,17.24,17.24,17.06,17.13
2007/06/27,17.13,17.23,16.95,17.23
2007/06/28,17.23,17.46,17.2,17.39
2007/06/29,17.39,17.55,17.37,17.42
2007/07/02,17.5,17.62,17.44,17.61
2007/07/03,17.61,17.67,17.49,17.51
2007/07/04,17.52,17.63,17.49,17.62
2007/07/05,17.62,17.63,17.46,17.54
2007/07/06,17.54,17.66,17.49,17.66
2007/07/09,17.66,17.73,17.64,17.71
2007/07/10,17.71,17.72,17.34,17.34
2007/07/11,17.34,17.45,17.19,17.45
2007/07/12,17.44,17.6,17.34,17.58
2007/07/13,17.58,17.63,17.46,17.52
2007/07/16,17.52,17.55,17.45,17.48
2007/07/17,17.48,17.63,17.44,17.61
2007/07/18,17.61,17.61,17.42,17.57
2007/07/19,17.57,17.8,17.53,17.76
2007/07/20,17.76,17.82,17.54,17.58
2007/07/23,17.63,17.84,17.51,17.75
2007/07/24,17.75,17.77,17.45,17.51
2007/07/25,17.51,17.66,17.37,17.51
2007/07/26,17.5,17.55,16.7,16.75
2007/07/27,16.75,16.91,16.6,16.75
2007/07/30,16.66,16.79,16.41,16.75
2007/07/31,16.75,16.88,16.54,16.61
2007/08/01,16.61,16.75,16.28,16.75
2007/08/02,16.75,16.86,16.57,16.81
2007/08/03,16.81,16.92,16.52,16.54
2007/08/06,16.39,16.96,16.38,16.93
2007/08/07,16.93,16.93,16.6,16.86
2007/08/08,16.86,17.1,16.82,17.05
2007/08/09,17.04,17.09,16.45,16.45
2007/08/10,16.45,16.62,16.17,16.49
2007/08/13,16.45,16.58,16.37,16.43
2007/08/14,16.43,16.46,16.02,16.04
2007/08/15,16.04,16.07,15.68,15.71
2007/08/16,15.7,15.71,14.75,15.23
2007/08/17,15.22,15.68,14.69,15.5
2007/08/20,15.44,15.73,15.38,15.49
2007/08/21,15.5,15.59,15.25,15.52
2007/08/22,15.52,15.95,15.46,15.95
2007/08/23,15.94,16.24,15.86,16.05
2007/08/24,16.05,16.23,15.8,16.23
2007/08/27,16.27,16.27,16,16
2007/08/28,16,16.04,15.62,15.62
2007/08/29,15.62,16.24,15.55,16.23
2007/08/30,16.23,16.27,15.99,16.16
2007/08/31,16.16,16.41,16.05,16.22
2007/09/03,16.19,16.29,16,16.13
2007/09/04,16.13,16.16,15.86,16.14
2007/09/05,16.14,16.16,15.82,15.9
2007/09/06,15.9,16.06,15.8,16.05
2007/09/07,16.05,16.07,15.55,15.63
2007/09/10,15.5,15.82,15.48,15.77
2007/09/11,15.77,15.96,15.68,15.92
2007/09/12,15.92,16.03,15.82,16
2007/09/13,16,16.23,15.96,16.05
2007/09/14,16.05,16.13,15.88,16.08
2007/09/17,16.09,16.13,15.91,15.95
2007/09/18,15.95,16.35,15.88,16.34
2007/09/19,16.33,16.48,16.27,16.37
2007/09/20,16.37,16.41,16.17,16.27
2007/09/21,16.27,16.52,16.23,16.48
2007/09/24,16.48,16.55,16.39,16.5
2007/09/25,16.5,16.52,16.27,16.42
2007/09/26,16.42,16.7,16.39,16.64
2007/09/27,16.64,16.87,16.59,16.79
2007/09/28,16.79,16.83,16.63,16.68
2007/10/01,16.71,16.94,16.68,16.93
2007/10/02,16.93,16.95,16.67,16.71
2007/10/03,16.71,16.95,16.68,16.83
2007/10/04,16.83,16.9,16.73,16.83
2007/10/05,16.83,17.19,16.82,17.17
2007/10/08,17.18,17.21,17.08,17.13
2007/10/09,17.13,17.15,17.01,17.14
2007/10/10,17.14,17.2,16.88,17.06
2007/10/11,17.05,17.62,17.03,17.4
2007/10/12,17.4,17.49,17.31,17.4
2007/10/15,17.4,17.54,17.05,17.15
2007/10/16,17.15,17.23,16.87,17.02
2007/10/17,17.02,17.29,16.88,17.06
2007/10/18,17.06,17.2,16.85,16.99
2007/10/19,16.99,17.1,16.79,16.79
2007/10/22,16.59,16.74,16.38,16.74
2007/10/23,16.74,17.19,16.71,17.15
2007/10/24,17.15,17.23,16.98,17.16
2007/10/25,17.16,17.45,17.09,17.44
2007/10/26,17.44,17.59,17.36,17.52
2007/10/29,17.54,17.7,17.48,17.53
2007/10/30,17.53,17.59,17.37,17.42
2007/10/31,17.42,17.77,17.41,17.73
2007/11/01,17.73,17.77,17.27,17.38
2007/11/02,17.38,17.63,17.27,17.5
2007/11/05,17.49,17.59,17.26,17.38
2007/11/06,17.38,17.67,17.38,17.63
2007/11/07,17.63,17.72,17.27,17.27
2007/11/08,17.27,17.54,17.07,17.28
2007/11/09,17.28,17.47,16.65,16.77
2007/11/12,16.7,16.73,15.98,15.99
2007/11/13,15.99,16.61,15.96,16.6
2007/11/14,16.6,17.03,16.55,16.9
2007/11/15,16.9,16.92,16.34,16.39
2007/11/16,16.39,16.73,16.23,16.55
2007/11/19,16.51,16.59,16.16,16.19
2007/11/20,16.19,16.49,16.11,16.44
2007/11/21,16.44,16.45,15.84,15.88
2007/11/22,15.88,16.09,15.86,15.97
2007/11/23,15.97,16,15.73,15.88
2007/11/26,15.89,16.07,15.27,15.38
2007/11/27,15.37,15.7,15.23,15.57
2007/11/28,15.57,16.09,15.44,16.03
2007/11/29,16.03,16.17,15.91,16.14
2007/11/30,16.14,16.48,16.06,16.33
2007/12/03,16.34,16.39,16.1,16.23
2007/12/04,16.23,16.29,16.02,16.1
2007/12/05,16.11,16.45,16.08,16.36
2007/12/06,16.36,16.59,16.28,16.52
2007/12/07,16.52,16.71,16.5,16.68
2007/12/10,16.63,16.78,16.55,16.76
2007/12/11,16.77,16.82,16.21,16.23
2007/12/12,16.23,16.84,16.21,16.66
2007/12/13,16.66,16.73,16.48,16.65
2007/12/14,16.65,16.73,16.45,16.47
2007/12/17,16.47,16.53,16.26,16.33
2007/12/18,16.33,16.48,16.28,16.41
2007/12/19,16.41,16.46,16.3,16.33
2007/12/20,16.33,16.34,15.98,16
2007/12/21,16,16.3,16,16.24
2007/12/24,16.24,16.43,16.21,16.37
2007/12/25,16.37,16.39,16.31,16.37
2007/12/26,16.37,16.43,16.27,16.41
2007/12/27,16.4,16.73,16.34,16.52
2007/12/28,16.52,16.56,16.38,16.42
2008/01/02,16.31,16.42,15.96,16.07
2008/01/03,16.07,16.12,15.77,15.87
2008/01/04,15.98,16.05,15.72,15.77
2008/01/07,15.81,15.91,15.66,15.8
2008/01/08,15.8,16,15.72,15.75
2008/01/09,15.75,16.08,15.73,16.03
2008/01/10,16.03,16.1,15.88,16.02
2008/01/11,16.02,16.21,15.87,16.13
2008/01/14,16.09,16.17,15.95,16.06
2008/01/15,16.06,16.07,15.59,15.61
2008/01/16,15.61,15.68,15.25,15.48
2008/01/17,15.48,15.54,14.98,14.99
2008/01/18,14.99,15.34,14.99,15.09
2008/01/21,15.12,15.15,14.63,14.67
2008/01/22,14.67,15.09,14.42,15.01
2008/01/23,15.01,15.18,14.61,15.13
2008/01/24,15.13,15.34,14.96,15.34
2008/01/25,15.34,15.47,14.89,14.89
2008/01/28,14.93,14.95,14.68,14.85
2008/01/29,14.85,15.02,14.8,14.86
2008/01/30,14.86,14.91,14.43,14.43
2008/01/31,14.43,14.64,13.99,14.22
2008/02/01,14.22,14.5,14.21,14.46
2008/02/04,14.5,14.62,14.27,14.29
2008/02/05,14.29,14.43,13.86,13.88
2008/02/06,13.88,14,13.79,13.85
2008/02/07,13.84,14.11,13.52,13.99
2008/02/08,13.99,14.1,13.63,13.79
2008/02/11,13.82,13.85,13.57,13.78
2008/02/12,13.78,14,13.69,13.88
2008/02/13,13.88,14.17,13.79,14
2008/02/14,14,14.24,13.95,14.01
2008/02/15,14,14.3,13.96,14.07
2008/02/18,14.1,14.25,14.09,14.2
2008/02/19,14.2,14.27,13.98,14.04
2008/02/20,14.04,14.09,13.6,13.82
2008/02/21,13.82,13.95,13.71,13.75
2008/02/22,13.75,13.95,13.71,13.84
