====[USD/JPY]====
[2013-02-22]判定:売[終値:93.37↑(高値:93.4800↓,安値:92.9200↑), EMA12:93.1815↑,EMA26:92.0020↑,MACD:1.1795↓,SIGNAL:1.4143↓,分析値:-0.23↓, 変化値:97.22↑(差:3.85↓)]
[2013-02-25]判定:売[終値:91.23↓(高値:94.3200↑,安値:90.8800↓), EMA12:92.8813↓,EMA26:91.9448↓,MACD:0.9365↓,SIGNAL:1.3187↓,分析値:-0.38↓, 変化値:98.55↑(差:7.32↑)]
[2013-02-26]判定:売[終値:91.94↑(高値:92.7100↓,安値:91.1300↑), EMA12:92.7364↓,EMA26:91.9444↓,MACD:0.7920↓,SIGNAL:1.2134↓,分析値:-0.42↓, 変化値:98.76↑(差:6.82↓)]
[2013-02-27]判定:売[終値:92.23↑(高値:92.4000↓,安値:91.1300↑), EMA12:92.6585↓,EMA26:91.9656↑,MACD:0.6930↓,SIGNAL:1.1093↓,分析値:-0.42↑, 変化値:98.53↓(差:6.30↓)]
[2013-02-28]判定:売[終値:92.52↑(高値:92.8200↑,安値:92.0000↑), EMA12:92.6372↓,EMA26:92.0066↑,MACD:0.6306↓,SIGNAL:1.0136↓,分析値:-0.38↑, 変化値:98.03↓(差:5.51↓)]
[2013-03-01]判定:売[終値:93.56↑(高値:93.6500↑,安値:92.4300↑), EMA12:92.7792↑,EMA26:92.1217↑,MACD:0.6575↑,SIGNAL:0.9423↓,分析値:-0.28↑, 変化値:96.97↓(差:3.41↓)]
[2013-03-04]判定:売[終値:93.45↓(高値:93.6900↑,安値:93.1700↑), EMA12:92.8824↑,EMA26:92.2201↑,MACD:0.6623↑,SIGNAL:0.8863↓,分析値:-0.22↑, 変化値:96.31↓(差:2.86↓)]
[2013-03-05]判定:売[終値:93.27↓(高値:93.4900↓,安値:92.9100↓), EMA12:92.9420↑,EMA26:92.2979↑,MACD:0.6442↓,SIGNAL:0.8379↓,分析値:-0.19↑, 変化値:95.97↓(差:2.70↓)]
[2013-03-06]判定:売[終値:94.06↑(高値:94.0800↑,安値:92.9900↑), EMA12:93.1140↑,EMA26:92.4284↑,MACD:0.6856↑,SIGNAL:0.8074↓,分析値:-0.12↑, 変化値:95.28↓(差:1.22↓)]
[2013-03-07]判定:売[終値:94.81↑(高値:95.0600↑,安値:93.7900↑), EMA12:93.3749↑,EMA26:92.6048↑,MACD:0.7701↑,SIGNAL:0.8000↓,分析値:-0.03↑, 変化値:94.82↓(差:0.01↓)]

